2016-02-23 13:17:59,849 |0.0.0.0-8443-exec-65 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:17:59,850 |0.0.0.0-8443-exec-65 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:59,851 |0.0.0.0-8443-exec-65 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [1] milliseconds
2016-02-23 13:17:59,880 |0.0.0.0-8443-exec-65 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:17:59,883 |0.0.0.0-8443-exec-65 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.163,since last([main(Domain:http...):0.163]]
2016-02-23 13:18:06,488 |0.0.0.0-8443-exec-65 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/calendar.html
2016-02-23 13:18:06,489 |0.0.0.0-8443-exec-65 |ContextFilter                 |W| [Filtered request]: /webtools/calendar.html (/control/main)
2016-02-23 13:18:06,493 |0.0.0.0-8443-exec-69 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:18:06,493 |0.0.0.0-8443-exec-69 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:18:06,496 |0.0.0.0-8443-exec-69 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:18:06,518 |0.0.0.0-8443-exec-69 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:18:06,546 |0.0.0.0-8443-exec-69 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:18:06,549 |0.0.0.0-8443-exec-69 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2016-02-23 13:18:06,551 |0.0.0.0-8443-exec-69 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:18:06,552 |0.0.0.0-8443-exec-69 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [1] milliseconds
2016-02-23 13:18:06,553 |0.0.0.0-8443-exec-69 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:18:06,555 |0.0.0.0-8443-exec-69 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:18:06,587 |0.0.0.0-8443-exec-69 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:18:06,592 |0.0.0.0-8443-exec-69 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.099,since last([main(Domain:http...):0.099]]
2016-02-23 13:18:19,916 |0.0.0.0-8443-exec-66 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:18:19,917 |0.0.0.0-8443-exec-66 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:18:19,923 |0.0.0.0-8443-exec-66 |ConfigXMLReader               |I| controller loaded: 0.003s, 111 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2016-02-23 13:18:19,927 |0.0.0.0-8443-exec-66 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
