2016-02-19 15:28:14,204 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-02-19 15:28:14,926 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:28:14,926 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-19 15:28:14,927 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:28:14,927 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-19 15:28:14,928 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:28:14,930 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:28:14,930 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2016-02-19 15:28:14,948 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=843 #ViewEntities=259 #Fields=8782 #Relationships=2902 #AutoRelationships=2155
2016-02-19 15:28:14,966 |main                 |GenericDelegator              |I| Doing entity definition check...
2016-02-19 15:28:14,970 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-02-19 15:28:15,062 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz.tenant".
2016-02-19 15:28:15,066 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
