2016-02-25 15:21:32,423 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ORDER_CONTACT_MECH] exists in the database but has no corresponding entity
2016-02-25 15:21:32,423 |source(localmysql)-0 |DatabaseUtil                  |E| Could not create table [demo_team]: SQL Exception while executing the following:
CREATE TABLE demo_team (TEAM_ID VARCHAR(20) CHARACTER SET utf8 COLLATE utf8_general_ci NOT NULL, TEAM_NAME VARCHAR(100) CHARACTER SET utf8 COLLATE utf8_general_ci, FOUNDED_DATE DATE, STADIUM_NAME VARCHAR(100) CHARACTER SET utf8 COLLATE utf8_general_ci, STADIUM_CAPACITY DECIMAL(20,0), OFFICAL_WEB_SITE VARCHAR(255) CHARACTER SET utf8 COLLATE utf8_general_ci, COUNTRY_ID VARCHAR(20) CHARACTER SET utf8 COLLATE utf8_general_ci, LAST_UPDATED_STAMP DATETIME, LAST_UPDATED_TX_STAMP DATETIME, CREATED_STAMP DATETIME, CREATED_TX_STAMP DATETIME, CONSTRAINT PK_demo_team PRIMARY KEY (TEAM_ID)) CHARACTER SET utf8 COLLATE utf8_general_ci
Error was: com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Table 'demo_team' already exists
2016-02-25 15:21:32,425 |source(localmysql)-0 |DatabaseUtil                  |E| Could not create table [demo_team_player]: SQL Exception while executing the following:
CREATE TABLE demo_team_player (PLAYER_ID VARCHAR(20) CHARACTER SET utf8 COLLATE utf8_general_ci NOT NULL, TEAM_ID VARCHAR(20) CHARACTER SET utf8 COLLATE utf8_general_ci NOT NULL, FROM_DATE DATE NOT NULL, THRU_DATE DATE, LAST_UPDATED_STAMP DATETIME, LAST_UPDATED_TX_STAMP DATETIME, CREATED_STAMP DATETIME, CREATED_TX_STAMP DATETIME, CONSTRAINT PK_demo_team_player PRIMARY KEY (PLAYER_ID, TEAM_ID, FROM_DATE)) CHARACTER SET utf8 COLLATE utf8_general_ci
Error was: com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Table 'demo_team_player' already exists
2016-02-25 15:21:32,423 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ORDER_CONTENT] exists in the database but has no corresponding entity
2016-02-25 15:21:32,426 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ORDER_CONTENT_TYPE] exists in the database but has no corresponding entity
2016-02-25 15:21:32,426 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [ORDER_DELIVERY_SCHEDULE] exists in the database but has no corresponding entity
