2016-02-25 18:10:25,179 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,180 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/switch/images/clr/businessltd.png
2016-02-25 18:10:25,181 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,182 |0.0.0.0-8080-exec-32 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,182 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,182 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,182 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.003,since last([themes(Domain:ht...):0.003]]
2016-02-25 18:10:25,450 |0.0.0.0-8080-exec-42 |ControlServlet                |T| [[[main(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,450 |0.0.0.0-8080-exec-42 |RequestHandler                |I| Rendering View [main], sessionId=1248711039E6F8F4CB3F628262719809.jvm1
2016-02-25 18:10:25,454 |0.0.0.0-8080-exec-42 |ServiceDispatcher             |T| Sync service [ecommerce/getVisualThemeResources] finished in [1] milliseconds
2016-02-25 18:10:25,462 |0.0.0.0-8080-exec-42 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-25 18:10:25,464 |0.0.0.0-8080-exec-42 |GenericDelegator              |E| Failure in create operation for entity [ServerHit]: org.ofbiz.entity.GenericEntityException: Error while inserting: [GenericEntity:ServerHit][contentId,ecommerce.main(java.lang.String)][createdStamp,2016-02-25 18:10:25.463(java.sql.Timestamp)][createdTxStamp,2016-02-25 18:10:25.463(java.sql.Timestamp)][hitStartDateTime,2016-02-25 18:10:25.45(java.sql.Timestamp)][hitTypeId,REQUEST(java.lang.String)][lastUpdatedStamp,2016-02-25 18:10:25.463(java.sql.Timestamp)][lastUpdatedTxStamp,2016-02-25 18:10:25.463(java.sql.Timestamp)][referrerUrl,(java.lang.String)][requestUrl,http://localhost:8080/ecommerce/control/main(java.lang.String)][runningTimeMillis,11(java.lang.Long)][serverHostName,cristik1991(java.lang.String)][serverIpAddress,10.10.10.79(java.lang.String)][visitId,23701(java.lang.String)] (SQL Exception while executing the following:INSERT INTO SERVER_HIT (VISIT_ID, CONTENT_ID, HIT_START_DATE_TIME, HIT_TYPE_ID, NUM_OF_BYTES, RUNNING_TIME_MILLIS, USER_LOGIN_ID, STATUS_ID, REQUEST_URL, REFERRER_URL, SERVER_IP_ADDRESS, SERVER_HOST_NAME, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP, INTERNAL_CONTENT_ID, PARTY_ID, ID_BY_IP_CONTACT_MECH_ID, REF_BY_WEB_CONTACT_MECH_ID) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) (Duplicate entry '23701-ecommerce.main-2016-02-25 18:10:25-REQUEST' for key 'PRIMARY')). Rolling back transaction.
